Country Name,Country Code,Fertility Rate Avg
Aruba,ABW,2.481592592592593
Andorra,AND,1.2159999999999997
Afghanistan,AFG,7.382833333333334
Angola,AGO,7.01675925925926
Albania,ALB,3.4917777777777776
United Arab Emirates,ARE,4.526944444444444
Argentina,ARG,2.861740740740741
Armenia,ARM,2.5564999999999998
Antigua and Barbuda,ATG,2.664611111111111
Australia,AUS,2.1848333333333336
Austria,AUT,1.7605555555555554
Azerbaijan,AZE,3.225946296296296
Burundi,BDI,7.148796296296295
Belgium,BEL,1.8653703703703708
Benin,BEN,6.360592592592594
Burkina Faso,BFA,6.636
Bangladesh,BGD,4.934185185185187
Bulgaria,BGR,1.796111111111111
Bahrain,BHR,4.386537037037037
"Bahamas, The",BHS,2.845500000000001
Bosnia and Herzegovina,BIH,2.0872962962962966
Belarus,BLR,1.8593148148148149
Belize,BLZ,4.851444444444444
Bermuda,BMU,1.7346666666666668
Bolivia,BOL,5.125037037037037
Brazil,BRA,3.5668333333333333
Barbados,BRB,2.3295
Brunei Darussalam,BRN,3.9457407407407405
Bhutan,BTN,5.217037037037037
Botswana,BWA,4.996685185185186
Central African Republic,CAF,5.615537037037039
Canada,CAN,1.9626166666666671
Switzerland,CHE,1.7248148148148146
Channel Islands,CHI,1.6772037037037038
Chile,CHL,2.974111111111111
China,CHN,3.131166666666667
Cote d'Ivoire,CIV,6.574092592592593
Cameroon,CMR,5.9834444444444435
"Congo, Rep.",COG,5.64711111111111
Colombia,COL,3.910851851851852
Comoros,COM,6.122425925925925
Cabo Verde,CPV,5.225611111111112
Costa Rica,CRI,3.6761666666666666
Cuba,CUB,2.4192222222222224
Curacao,CUW,2.128571428571429
Cyprus,CYP,2.2729259259259256
Czech Republic,CZE,1.7825925925925932
Germany,DEU,1.6011111111111107
Djibouti,DJI,5.641944444444443
Dominica,DMA,2.8885714285714283
Denmark,DNK,1.8588888888888893
Dominican Republic,DOM,4.310388888888888
Algeria,DZA,5.256777777777779
Ecuador,ECU,4.37687037037037
"Egypt, Arab Rep.",EGY,4.639703703703704
Eritrea,ERI,6.243611111111113
