Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
South Italian,Italy,ITA,Vulnerable,7500000.0,40.9798,15.249,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Sicilian,Italy,ITA,Vulnerable,5000000.0,37.4399,14.5019,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Lombard,"Italy, Switzerland",ITA,Definitely endangered,3500000.0,45.7215,9.3273,1.7140740740740743,35.0,55.77,Moderate Proficiency,2,944337429320.3408
Emilian-Romagnol,"Italy, San Marino",ITA,Definitely endangered,2000000.0,44.127,12.0739,1.7140740740740743,35.0,55.77,Moderate Proficiency,2,944337429320.3408
Piedmontese,Italy,ITA,Definitely endangered,2000000.0,45.2013,7.8662,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Campidanese,Italy,ITA,Definitely endangered,900000.0,39.2991,8.9868,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Friulian,Italy,ITA,Definitely endangered,600000.0,46.1037,13.1396,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Logudorese,Italy,ITA,Definitely endangered,400000.0,40.1116,9.1845,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Sassarese,Italy,ITA,Definitely endangered,120000.0,40.6139,8.6132,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Gallurese,Italy,ITA,Definitely endangered,100000.0,40.8802,9.4482,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Arbëresh,Italy,ITA,Definitely endangered,80000.0,40.9321,14.8645,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Gallo-Sicilian,Italy,ITA,Definitely endangered,65000.0,38.0167,14.5994,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Ladin,Italy,ITA,Definitely endangered,30000.0,46.5531,11.8597,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Griko (Salento),Italy,ITA,Severely endangered,20000.0,40.1578,18.2208,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Algherese Catalan,Italy,ITA,Definitely endangered,10000.0,40.5638,8.3276,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Molise Croatian,Italy,ITA,Severely endangered,5000.0,41.8787,14.7065,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Griko (Calabria),Italy,ITA,Severely endangered,2000.0,37.9961,15.9329,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Mòcheno,Italy,ITA,Definitely endangered,1000.0,46.1194,11.3258,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Resian,Italy,ITA,Definitely endangered,1000.0,46.3734,13.3058,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Faetar,Italy,ITA,Definitely endangered,600.0,41.3265,15.1721,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Cimbrian,Italy,ITA,Definitely endangered,400.0,45.867,11.4268,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Gardiol,Italy,ITA,Severely endangered,340.0,39.4658,15.9933,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Töitschu,Italy,ITA,Severely endangered,200.0,45.6913,7.8682,1.7140740740740743,35.0,55.77,Moderate Proficiency,1,944337429320.3408
Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",DEU,Vulnerable,4800000.0,53.4029,10.3601,1.6011111111111107,11.0,63.74,Very High Proficiency,5,1940413077005.6487
Limburgian-Ripuarian,"Germany, Belgium, Netherlands",DEU,Vulnerable,2600000.0,50.7781,6.0864,1.6011111111111107,11.0,63.74,Very High Proficiency,3,1940413077005.6487
Moselle Franconian,"Germany, Belgium, France, Luxembourg",DEU,Vulnerable,390000.0,49.6071,6.1248,1.6011111111111107,11.0,63.74,Very High Proficiency,4,1940413077005.6487
Sorbian,Germany,DEU,Definitely endangered,19500.0,51.5001,14.4744,1.6011111111111107,11.0,63.74,Very High Proficiency,1,1940413077005.6487
