Country Code,GDP Average (Current US $)
ABW,2 Billion
AFG,7 Billion
AGO,39 Billion
ALB,6 Billion
AND,2 Billion
ARB,851 Billion
ARE,137 Billion
ARG,194 Billion
ARM,6 Billion
ASM,584 Million
ATG,717 Million
AUS,417 Billion
AUT,169 Billion
AZE,25 Billion
BDI,1 Billion
BEL,209 Billion
BEN,3 Billion
BFA,3 Billion
BGD,49 Billion
BGR,28 Billion
BHR,13 Billion
BHS,4 Billion
BIH,11 Billion
BLR,34 Billion
BLZ,583 Million
BMU,2 Billion
BOL,9 Billion
BRA,659 Billion
BRB,3 Billion
BRN,6 Billion
BTN,764 Million
BWA,5 Billion
CAF,939 Million
CAN,635 Billion
CEB,831 Billion
CHE,289 Billion
CHI,8 Billion
CHL,74 Billion
CHN,2 Trillion
CIV,12 Billion
CMR,12 Billion
COD,12 Billion
COG,4 Billion
COL,95 Billion
COM,554 Million
CPV,812 Million
CRI,13 Billion
CSS,26 Billion
CUB,35 Billion
CUW,0
CYM,3 Billion
CYP,11 Billion
CZE,126 Billion
DEU,2 Trillion
DJI,798 Million
DMA,293 Million
DNK,139 Billion
DOM,19 Billion
DZA,63 Billion
EAP,3 Trillion
EAR,3 Trillion
EAS,7 Trillion
ECA,2 Trillion
ECS,9 Trillion
ECU,28 Billion
EGY,84 Billion
EMU,6 Trillion
ERI,1 Billion
ESP,541 Billion
EST,15 Billion
ETH,20 Billion
EUU,7 Trillion
FCS,531 Billion
FIN,109 Billion
FJI,2 Billion
FRA,1 Trillion
FRO,2 Billion
FSM,231 Million
GAB,6 Billion
GBR,1 Trillion
GEO,8 Billion
GHA,12 Billion
GIB,0
GIN,5 Billion
GMB,531 Million
GNB,403 Million
GNQ,4 Billion
GRC,112 Billion
GRD,471 Million
GRL,1 Billion
GTM,17 Billion
GUM,5 Billion
GUY,900 Million
HIC,20 Trillion
HKG,104 Billion
HND,7 Billion
HPC,189 Billion
HRV,44 Billion
HTI,3 Billion
HUN,92 Billion
IBD,7 Trillion
IBT,7 Trillion
IDA,551 Billion
IDB,259 Billion
IDN,256 Billion
IDX,290 Billion
IMN,4 Billion
IND,546 Billion
INX,0
IRL,88 Billion
IRN,160 Billion
IRQ,68 Billion
ISL,7 Billion
ISR,91 Billion
ITA,944 Billion
JAM,6 Billion
JOR,10 Billion
JPN,3 Trillion
KAZ,84 Billion
KEN,15 Billion
KGZ,4 Billion
KHM,6 Billion
KIR,79 Million
KNA,305 Million
KOR,423 Billion
KWT,47 Billion
LAC,2 Trillion
LAO,4 Billion
LBN,24 Billion
LBR,2 Billion
LBY,42 Billion
LCA,783 Million
LCN,2 Trillion
LDC,355 Billion
LIC,225 Billion
LIE,2 Billion
LKA,19 Billion
LMC,2 Trillion
LMY,7 Trillion
LSO,842 Million
LTE,4 Trillion
LTU,29 Billion
LUX,20 Billion
LVA,19 Billion
MAC,15 Billion
MAF,0
MAR,37 Billion
MCO,3 Billion
MDA,4 Billion
MDG,4 Billion
MDV,1 Billion
MEA,1 Trillion
MEX,436 Billion
MHL,116 Million
MIC,7 Trillion
MKD,7 Billion
MLI,4 Billion
MLT,4 Billion
MMR,36 Billion
MNA,890 Billion
MNE,3 Billion
MNG,4 Billion
MNP,1 Billion
MOZ,7 Billion
MRT,2 Billion
MUS,5 Billion
MWI,2 Billion
MYS,87 Billion
NAC,8 Trillion
NAM,6 Billion
NCL,1 Billion
NER,3 Billion
NGA,121 Billion
NIC,4 Billion
NLD,348 Billion
NOR,157 Billion
NPL,6 Billion
NRU,79 Million
NZL,60 Billion
OED,20 Trillion
OMN,21 Billion
OSS,142 Billion
PAK,71 Billion
PAN,13 Billion
PER,54 Billion
PHL,77 Billion
PLW,204 Million
PNG,5 Billion
POL,300 Billion
PRE,331 Billion
PRI,40 Billion
PRK,0
PRT,92 Billion
PRY,11 Billion
PSE,7 Billion
PSS,4 Billion
PST,19 Trillion
PYF,2 Billion
QAT,43 Billion
ROU,97 Billion
RUS,922 Billion
RWA,2 Billion
SAS,697 Billion
SAU,233 Billion
SDN,22 Billion
SEN,7 Billion
SGP,80 Billion
SLB,415 Million
SLE,1 Billion
SLV,9 Billion
SMR,2 Billion
SOM,7 Billion
SRB,31 Billion
SSA,493 Billion
SSD,12 Billion
SSF,493 Billion
SST,163 Billion
STP,208 Million
SUR,1 Billion
SVK,56 Billion
SVN,37 Billion
SWE,225 Billion
SWZ,1 Billion
SXM,0
SYC,447 Million
SYR,12 Billion
TCA,0
TCD,3 Billion
TEA,3 Trillion
TEC,2 Trillion
TGO,2 Billion
THA,123 Billion
TJK,4 Billion
TKM,13 Billion
TLA,2 Trillion
TLS,3 Billion
TMN,883 Billion
TON,200 Million
TSA,697 Billion
TSS,493 Billion
TTO,9 Billion
TUN,19 Billion
TUR,253 Billion
TUV,22 Million
TZA,19 Billion
UGA,7 Billion
UKR,88 Billion
UMC,5 Trillion
URY,16 Billion
USA,7 Trillion
UZB,27 Billion
VCT,283 Million
VEN,97 Billion
VGB,0
VIR,2 Billion
VNM,69 Billion
VUT,356 Million
WLD,27 Trillion
WSM,374 Million
XKX,5 Billion
YEM,19 Billion
ZAF,135 Billion
ZMB,7 Billion
ZWE,7 Billion
